,Time,CHEM_SNR_LW1,CHEM_SNR_LW2,CHEM_SNR_LW3,CHEM_SNR_LW4,LAT,LON,ALT,LW1,LW2,LW3,LW4
0,55731,-99.0,-99.0,-99.0,-99.0,35.72749,-78.6963046,16.103,-99.0,-99.0,-99.0,-99.0
1,55732,-99.0,-99.0,-99.0,-99.0,35.72749,-78.6963046,16.115,-99.0,-99.0,-99.0,-99.0
2,55733,-99.0,-99.0,-99.0,-99.0,35.7274901,-78.6963046,16.107,-99.0,-99.0,-99.0,-99.0
3,55734,-99.0,-99.0,-99.0,-99.0,35.7274902,-78.6963046,16.108,-99.0,-99.0,-99.0,-99.0
4,55735,-99.0,-99.0,-99.0,-99.0,35.7274904,-78.6963047,16.103,-99.0,-99.0,-99.0,-99.0
5,55736,-99.0,-99.0,-99.0,-99.0,35.7274906,-78.6963047,16.105,-99.0,-99.0,-99.0,-99.0
6,55737,-99.0,-99.0,-99.0,-99.0,35.7274907,-78.6963047,16.119,-99.0,-99.0,-99.0,-99.0
7,55738,-99.0,-99.0,-99.0,-99.0,35.7274908,-78.6963046,16.105,-99.0,-99.0,-99.0,-99.0
8,55739,-99.0,-99.0,-99.0,-99.0,35.7274908,-78.6963045,16.09,-99.0,-99.0,-99.0,-99.0
9,55740,-99.0,-99.0,-99.0,-99.0,35.7274908,-78.6963044,16.097,-99.0,-99.0,-99.0,-99.0
10,55741,-99.0,-99.0,-99.0,-99.0,35.7274908,-78.6963043,16.101,-99.0,-99.0,-99.0,-99.0
11,55742,-99.0,-99.0,-99.0,-99.0,35.7274907,-78.6963043,16.098,-99.0,-99.0,-99.0,-99.0
12,55743,-99.0,-99.0,-99.0,-99.0,35.7274906,-78.6963043,16.091,-99.0,-99.0,-99.0,-99.0
13,55744,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963043,16.087,-99.0,-99.0,-99.0,-99.0
14,55745,-99.0,-99.0,-99.0,-99.0,35.7274904,-78.6963043,16.08,-99.0,-99.0,-99.0,-99.0
15,55746,-99.0,-99.0,-99.0,-99.0,35.7274904,-78.6963043,16.086,-99.0,-99.0,-99.0,-99.0
16,55747,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963045,16.07,-99.0,-99.0,-99.0,-99.0
17,55748,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963046,16.064,-99.0,-99.0,-99.0,-99.0
18,55749,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963047,16.058,-99.0,-99.0,-99.0,-99.0
19,55750,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963046,16.058,-99.0,-99.0,-99.0,-99.0
20,55751,-99.0,-99.0,-99.0,-99.0,35.7274904,-78.6963046,16.063,-99.0,-99.0,-99.0,-99.0
21,55752,-99.0,-99.0,-99.0,-99.0,35.7274903,-78.6963045,16.056,-99.0,-99.0,-99.0,-99.0
22,55753,-99.0,-99.0,-99.0,-99.0,35.7274902,-78.6963045,16.065,-99.0,-99.0,-99.0,-99.0
23,55754,-99.0,-99.0,-99.0,-99.0,35.72749,-78.6963045,16.079,-99.0,-99.0,-99.0,-99.0
24,55755,-99.0,-99.0,-99.0,-99.0,35.7274899,-78.6963045,16.079,-99.0,-99.0,-99.0,-99.0
25,55756,-99.0,-99.0,-99.0,-99.0,35.7274898,-78.6963045,16.099,-99.0,-99.0,-99.0,-99.0
26,55757,-99.0,-99.0,-99.0,-99.0,35.7274899,-78.6963046,16.123,-99.0,-99.0,-99.0,-99.0
27,55758,-99.0,-99.0,-99.0,-99.0,35.7274899,-78.6963047,16.099,-99.0,-99.0,-99.0,-99.0
28,55759,-99.0,-99.0,-99.0,-99.0,35.7274899,-78.6963048,16.126,-99.0,-99.0,-99.0,-99.0
29,55760,-99.0,-99.0,-99.0,-99.0,35.72749,-78.6963049,16.12,-99.0,-99.0,-99.0,-99.0
30,55761,-99.0,-99.0,-99.0,-99.0,35.72749,-78.696305,16.113,-99.0,-99.0,-99.0,-99.0
31,55762,-99.0,-99.0,-99.0,-99.0,35.72749,-78.6963052,16.114,-99.0,-99.0,-99.0,-99.0
32,55763,-99.0,-99.0,-99.0,-99.0,35.7274902,-78.6963053,16.09,-99.0,-99.0,-99.0,-99.0
33,55764,-99.0,-99.0,-99.0,-99.0,35.7274902,-78.6963053,16.082,-99.0,-99.0,-99.0,-99.0
34,55765,-99.0,-99.0,-99.0,-99.0,35.7274903,-78.6963054,16.101,-99.0,-99.0,-99.0,-99.0
35,55766,-99.0,-99.0,-99.0,-99.0,35.7274902,-78.6963054,16.088,-99.0,-99.0,-99.0,-99.0
36,55767,-99.0,-99.0,-99.0,-99.0,35.7274903,-78.6963054,16.103,-99.0,-99.0,-99.0,-99.0
37,55768,-99.0,-99.0,-99.0,-99.0,35.7274903,-78.6963055,16.099,-99.0,-99.0,-99.0,-99.0
38,55769,-99.0,-99.0,-99.0,-99.0,35.7274904,-78.6963056,16.086,-99.0,-99.0,-99.0,-99.0
39,55770,-99.0,-99.0,-99.0,-99.0,35.7274905,-78.6963058,16.088,-99.0,-99.0,-99.0,-99.0
40,55771,-99.0,-99.0,-99.0,-99.0,35.7274907,-78.6963061,16.108,-99.0,-99.0,-99.0,-99.0
41,55772,-99.0,-99.0,-99.0,-99.0,35.7274908,-78.6963063,16.108,-99.0,-99.0,-99.0,-99.0
42,55773,-99.0,-99.0,-99.0,-99.0,35.727491,-78.6963064,16.12,-99.0,-99.0,-99.0,-99.0
43,55774,-99.0,-99.0,-99.0,-99.0,35.7274911,-78.6963065,16.112,-99.0,-99.0,-99.0,-99.0
44,55775,-99.0,-99.0,-99.0,-99.0,35.7274912,-78.6963066,16.114,-99.0,-99.0,-99.0,-99.0
45,55776,-99.0,-99.0,-99.0,-99.0,35.7274913,-78.6963066,16.107,-99.0,-99.0,-99.0,-99.0
46,55777,-99.0,-99.0,-99.0,-99.0,35.7274914,-78.6963067,16.109,-99.0,-99.0,-99.0,-99.0
47,55778,-99.0,-99.0,-99.0,-99.0,35.7274915,-78.6963067,16.108,-99.0,-99.0,-99.0,-99.0
48,55779,-99.0,-99.0,-99.0,-99.0,35.7274917,-78.6963067,16.11,-99.0,-99.0,-99.0,-99.0
49,55780,-99.0,-99.0,-99.0,-99.0,35.7274918,-78.6963067,16.105,-99.0,-99.0,-99.0,-99.0
50,55781,-99.0,-99.0,-99.0,-99.0,35.7274919,-78.6963067,16.113,-99.0,-99.0,-99.0,-99.0
51,55782,-99.0,-99.0,-99.0,-99.0,35.727492,-78.6963067,16.121,-99.0,-99.0,-99.0,-99.0
52,55783,-99.0,-99.0,-99.0,-99.0,35.7274922,-78.6963068,16.118,-99.0,-99.0,-99.0,-99.0
53,55784,-99.0,-99.0,-99.0,-99.0,35.7274924,-78.6963068,16.111,-99.0,-99.0,-99.0,-99.0
54,55785,-99.0,-99.0,-99.0,-99.0,35.7274925,-78.696307,16.122,-99.0,-99.0,-99.0,-99.0
55,55786,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.696307,16.132,-99.0,-99.0,-99.0,-99.0
56,55787,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.6963069,16.145,-99.0,-99.0,-99.0,-99.0
57,55788,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.6963069,16.137,-99.0,-99.0,-99.0,-99.0
58,55789,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.696307,16.138,-99.0,-99.0,-99.0,-99.0
59,55790,-99.0,-99.0,-99.0,-99.0,35.7274925,-78.696307,16.159,-99.0,-99.0,-99.0,-99.0
60,55791,-99.0,-99.0,-99.0,-99.0,35.7274925,-78.696307,16.172,-99.0,-99.0,-99.0,-99.0
61,55792,-99.0,-99.0,-99.0,-99.0,35.7274925,-78.696307,16.173,-99.0,-99.0,-99.0,-99.0
62,55793,-99.0,-99.0,-99.0,-99.0,35.7274926,-78.6963071,16.176,-99.0,-99.0,-99.0,-99.0
63,55794,-99.0,-99.0,-99.0,-99.0,35.7274927,-78.6963071,16.177,-99.0,-99.0,-99.0,-99.0
64,55795,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963071,16.167,-99.0,-99.0,-99.0,-99.0
65,55796,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963071,16.149,-99.0,-99.0,-99.0,-99.0
66,55797,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963071,16.153,-99.0,-99.0,-99.0,-99.0
67,55798,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.696307,16.141,-99.0,-99.0,-99.0,-99.0
68,55799,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963069,16.127,-99.0,-99.0,-99.0,-99.0
69,55800,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963068,16.119,-99.0,-99.0,-99.0,-99.0
70,55801,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963066,16.107,-99.0,-99.0,-99.0,-99.0
71,55802,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963065,16.114,-99.0,-99.0,-99.0,-99.0
72,55803,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963066,16.139,-99.0,-99.0,-99.0,-99.0
73,55804,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963066,16.136,-99.0,-99.0,-99.0,-99.0
74,55805,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963066,16.16,-99.0,-99.0,-99.0,-99.0
75,55806,-99.0,-99.0,-99.0,-99.0,35.7274931,-78.6963067,16.162,-99.0,-99.0,-99.0,-99.0
76,55807,-99.0,-99.0,-99.0,-99.0,35.7274932,-78.6963068,16.153,-99.0,-99.0,-99.0,-99.0
77,55808,-99.0,-99.0,-99.0,-99.0,35.7274934,-78.6963069,16.154,-99.0,-99.0,-99.0,-99.0
78,55809,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963069,16.157,-99.0,-99.0,-99.0,-99.0
79,55810,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963068,16.176,-99.0,-99.0,-99.0,-99.0
80,55811,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963068,16.184,-99.0,-99.0,-99.0,-99.0
81,55812,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963067,16.174,-99.0,-99.0,-99.0,-99.0
82,55813,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963067,16.179,-99.0,-99.0,-99.0,-99.0
83,55814,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963067,16.181,-99.0,-99.0,-99.0,-99.0
84,55815,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963067,16.172,-99.0,-99.0,-99.0,-99.0
85,55816,-99.0,-99.0,-99.0,-99.0,35.7274937,-78.6963067,16.166,-99.0,-99.0,-99.0,-99.0
86,55817,-99.0,-99.0,-99.0,-99.0,35.7274938,-78.6963068,16.161,-99.0,-99.0,-99.0,-99.0
87,55818,-99.0,-99.0,-99.0,-99.0,35.7274938,-78.6963069,16.159,-99.0,-99.0,-99.0,-99.0
88,55819,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.696307,16.155,-99.0,-99.0,-99.0,-99.0
89,55820,-99.0,-99.0,-99.0,-99.0,35.727494,-78.6963069,16.171,-99.0,-99.0,-99.0,-99.0
90,55821,-99.0,-99.0,-99.0,-99.0,35.727494,-78.6963069,16.179,-99.0,-99.0,-99.0,-99.0
91,55822,-99.0,-99.0,-99.0,-99.0,35.727494,-78.6963068,16.18,-99.0,-99.0,-99.0,-99.0
92,55823,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.6963067,16.174,-99.0,-99.0,-99.0,-99.0
93,55824,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.6963067,16.175,-99.0,-99.0,-99.0,-99.0
94,55825,-99.0,-99.0,-99.0,-99.0,35.7274939,-78.6963067,16.171,-99.0,-99.0,-99.0,-99.0
95,55826,-99.0,-99.0,-99.0,-99.0,35.7274938,-78.6963066,16.162,-99.0,-99.0,-99.0,-99.0
96,55827,-99.0,-99.0,-99.0,-99.0,35.7274937,-78.6963066,16.165,-99.0,-99.0,-99.0,-99.0
97,55828,-99.0,-99.0,-99.0,-99.0,35.7274937,-78.6963066,16.192,-99.0,-99.0,-99.0,-99.0
98,55829,-99.0,-99.0,-99.0,-99.0,35.7274936,-78.6963066,16.189,-99.0,-99.0,-99.0,-99.0
99,55830,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.196,-99.0,-99.0,-99.0,-99.0
100,55831,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.202,-99.0,-99.0,-99.0,-99.0
101,55832,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.207,-99.0,-99.0,-99.0,-99.0
102,55833,-99.0,-99.0,-99.0,-99.0,35.7274935,-78.6963066,16.204,-99.0,-99.0,-99.0,-99.0
103,55834,-99.0,-99.0,-99.0,-99.0,35.7274934,-78.6963065,16.212,-99.0,-99.0,-99.0,-99.0
104,55835,-99.0,-99.0,-99.0,-99.0,35.7274933,-78.6963064,16.218,-99.0,-99.0,-99.0,-99.0
105,55836,-99.0,-99.0,-99.0,-99.0,35.7274932,-78.6963063,16.214,-99.0,-99.0,-99.0,-99.0
106,55837,-99.0,-99.0,-99.0,-99.0,35.727493,-78.6963061,16.208,-99.0,-99.0,-99.0,-99.0
107,55838,-99.0,-99.0,-99.0,-99.0,35.7274929,-78.6963059,16.198,-99.0,-99.0,-99.0,-99.0
